0,1,2
U1718@C2733,False,52
U10328@DOM1,False,7
U981@DOM1,False,7
U1390@DOM1,False,21
U3461@DOM1,False,14
U781@DOM1,False,6
U8921@DOM1,False,1
U475@DOM1,False,15
U1745@DOM1,False,34
U2943@DOM1,False,30
U1916@DOM1,False,12
U7765@DOM1,False,29
U1802@DOM1,False,4
U3162@DOM1,False,16
U1422@DOM1,False,13
U799@DOM1,False,8
U8831@DOM1,False,12
U4875@DOM1,False,6
U5318@DOM1,False,35
U5002@DOM9,False,31
U5147@DOM1,False,24
U5521@DOM1,False,31
U8717@DOM1,False,32
U4018@DOM1,False,5
U8434@DOM1,False,10
U1491@DOM1,False,15
U5541@DOM1,False,12
U380@DOM1,False,6
U4629@DOM1,False,9
U5942@DOM1,False,12
U463@DOM9,False,35
U1813@DOM1,False,2
U8792@DOM1,False,18
U7420@DOM1,False,12
U7450@DOM1,False,30
U7182@DOM1,False,25
U9867@DOM1,False,29
U4045@DOM1,False,29
U7562@DOM1,False,5
U3603@DOM1,False,29
U3904@DOM1,False,24
U2964@DOM1,False,8
U2664@DOM1,False,30
U7373@DOM1,False,28
U2348@DOM1,False,35
U854@DOM1,False,4
U376@DOM1,False,10
U9376@DOM1,False,8
U4844@DOM1,False,4
U6134@DOM1,False,24
U5496@DOM1,False,30
U5652@DOM9,False,18
U3975@DOM1,False,4
U6585@DOM1,False,2
U9828@DOM1,False,6
U7427@DOM1,False,16
U4943@DOM1,False,30
U5941@DOM1,False,7
U3671@DOM1,False,28
U7255@DOM1,False,33
U359@DOM1,False,21
U437@DOM1,False,1
U3694@DOM1,False,33
U831@DOM1,False,17
U1382@DOM1,False,12
U6521@DOM1,False,14
U1940@DOM1,False,33
U9034@DOM1,False,3
U3057@DOM1,False,10
U7192@DOM1,False,20
U3248@DOM1,False,28
U7510@DOM1,False,9
U708@DOM1,False,18
U542@DOM1,False,2
U307@DOM1,False,23
U6039@DOM1,False,20
U3457@DOM1,False,16
U7066@DOM1,False,28
U6892@DOM1,False,3
U2390@DOM1,False,21
U9877@DOM1,False,5
U8076@DOM1,False,12
U3590@DOM1,False,27
U4599@DOM1,False,22
U8020@DOM1,False,16
U8661@DOM1,False,15
U6384@DOM1,False,33
U4082@DOM1,False,71
U9780@DOM1,False,7
U455@DOM1,False,12
U3958@DOM1,False,16
U4048@DOM1,False,5
U10330@DOM1,False,2
U623@DOM1,False,24
U569@DOM1,False,5
U7317@DOM1,False,1
U2735@DOM1,False,7
U586@DOM1,False,27
U50@DOM1,False,9
U5002@DOM1,False,40
U4251@DOM1,False,7
U1501@DOM1,False,20
U3723@DOM1,False,3
U314@DOM1,True,70
U7311@DOM1,True,13
U8168@C685,True,13
U3718@DOM1,True,43
U162@DOM1,True,82
U1467@C3597,True,22
U2837@DOM1,True,43
U882@DOM1,True,50
U825@DOM1,True,19
U4978@DOM1,True,52
U7594@DOM1,True,12
U349@DOM1,True,47
U1450@DOM1,True,70
U8777@C1500,True,54
U453@DOM1,True,64
U86@C10,True,23
U24@DOM1,True,37
U114@DOM1,True,21
U737@DOM1,True,74
U3635@DOM1,True,80
U1048@DOM1,True,66
U86@DOM1,True,37
U7761@C2519,True,37
U218@DOM1,True,72
U4856@DOM1,True,44
U1789@DOM1,True,37
U212@DOM1,True,50
U1506@DOM1,True,12
U2575@DOM1,True,89
U3905@DOM1,True,43
U3206@DOM1,True,17
U9763@DOM1,True,43
U12@DOM1,True,58
U13@DOM1,True,39
U1133@DOM1,True,57
U3575@DOM1,True,13
U20@DOM1,True,40
U4112@DOM1,True,69
U737@C10,True,23
U9407@DOM1,True,24
U3549@DOM1,True,36
U1581@DOM1,True,49
U6572@DOM1,True,50
U795@DOM1,True,50
U9263@DOM1,True,54
U2231@DOM1,True,38
U1306@DOM1,True,13
U227@DOM1,True,12
U6691@DOM1,True,42
U3005@DOM1,True,78
U1723@DOM1,True,47
U655@DOM1,True,38
U1106@DOM1,True,24
U1145@DOM1,True,53
U636@DOM1,True,9
U1600@DOM1,True,71
U6115@DOM1,True,4
U7394@DOM1,True,43
U250@DOM1,True,43
U6764@DOM1,True,39
U207@DOM1,True,43
U1519@DOM1,True,38
U995@DOM1,True,50
U415@DOM1,True,51
U1025@DOM1,True,26
U8777@C3388,True,54
U8170@DOM1,True,43
U524@DOM1,True,16
U288@DOM1,True,43
U7375@DOM1,True,63
U1592@DOM1,True,46
U3486@DOM1,True,15
U8777@C583,True,44
U7507@DOM1,True,64
U8168@C19038,True,12
U8601@DOM1,True,85
U66@DOM1,True,91
U5087@DOM1,True,50
U342@DOM1,True,81
U3406@DOM1,True,41
U620@DOM1,True,3
U748@DOM1,True,4
U642@DOM1,True,43
U5254@DOM1,True,69
U374@DOM1,True,52
U78@DOM1,True,48
U8777@DOM1,True,24
U10379@C3521,True,50
U293@DOM1,True,50
U8946@DOM1,True,60
U1289@DOM1,True,37
U4353@DOM1,True,55
U8840@DOM1,True,15
U3764@DOM1,True,2
U7004@C2519,True,37
U1164@DOM1,True,46
U1480@DOM1,True,99
U1569@DOM1,True,50
U679@DOM1,True,13
U4448@DOM1,True,82
U3277@C2519,True,38
U2758@DOM1,True,52
U9947@DOM1,True,67
